Rank,ID,Category,Skills_Total,Skills_Matched,Skills_Missing,Match_Score,Matched_Skills,Missing_Skills,Category_Level,Weighted_Score,TFIDF_Score,Combined_Score
1,17812897,Strong Match,39,21,5,80.8,"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'conflict resolution', 'dental', 'paychex', 'fmla', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']","['talent acquisition', 'phr', 'onboarding', 'microsoft office', 'workers compensation']",Strong Match (Interview),100.0,30.4,65.7
2,14225422,Good Match,30,17,9,65.4,"['employee relations', 'benefits', 'phr', 'dental', 'compensation', 'paychex', 'orientation', 'recruitment', 'fmla', 'payroll', 'powerpoint', 'word', 'hris', 'adp', 'compliance', 'excel', 'workers compensation']","['talent acquisition', 'performance management', 'shrm', 'ada', 'employment law', 'kronos', 'onboarding', 'microsoft office', 'conflict resolution']",Good Match (Consider),80.4,24.1,53.0
3,34554248,Good Match,22,17,9,65.4,"['employee relations', 'benefits', 'ada', 'phr', 'compensation', 'employment law', 'orientation', 'paychex', 'fmla', 'payroll', 'onboarding', 'powerpoint', 'word', 'hris', 'recruitment', 'excel', 'conflict resolution']","['talent acquisition', 'performance management', 'shrm', 'dental', 'kronos', 'microsoft office', 'adp', 'compliance', 'workers compensation']",Good Match (Consider),85.4,46.1,59.6
4,16244633,Good Match,31,17,9,65.4,"['employee relations', 'performance management', 'benefits', 'ada', 'compensation', 'orientation', 'recruitment', 'fmla', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'adp', 'compliance', 'excel', 'workers compensation']","['talent acquisition', 'shrm', 'phr', 'dental', 'paychex', 'employment law', 'powerpoint', 'kronos', 'conflict resolution']",Good Match (Consider),70.4,24.4,53.1
5,18316239,Good Match,34,17,9,65.4,"['employee relations', 'performance management', 'benefits', 'phr', 'compensation', 'orientation', 'recruitment', 'fmla', 'powerpoint', 'onboarding', 'word', 'hris', 'workers compensation', 'adp', 'compliance', 'excel', 'conflict resolution']","['talent acquisition', 'shrm', 'ada', 'dental', 'paychex', 'employment law', 'kronos', 'payroll', 'microsoft office']",Good Match (Consider),80.4,62.7,64.6
6,39081840,Good Match,24,16,10,61.5,"['employee relations', 'performance management', 'benefits', 'shrm', 'ada', 'compensation', 'employment law', 'orientation', 'fmla', 'payroll', 'onboarding', 'powerpoint', 'hris', 'adp', 'compliance', 'excel']","['talent acquisition', 'phr', 'dental', 'paychex', 'recruitment', 'kronos', 'word', 'microsoft office', 'workers compensation', 'conflict resolution']",Good Match (Consider),81.5,24.8,50.5
7,18731098,Good Match,32,16,10,61.5,"['employee relations', 'benefits', 'shrm', 'compensation', 'orientation', 'fmla', 'kronos', 'payroll', 'powerpoint', 'microsoft office', 'word', 'hris', 'adp', 'compliance', 'excel', 'workers compensation']","['talent acquisition', 'performance management', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'recruitment', 'onboarding', 'conflict resolution']",Good Match (Consider),76.5,36.1,53.9
8,26048718,Good Match,32,16,10,61.5,"['employee relations', 'talent acquisition', 'benefits', 'shrm', 'dental', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'kronos', 'word', 'microsoft office', 'hris', 'compliance', 'excel', 'conflict resolution']","['performance management', 'ada', 'phr', 'paychex', 'employment law', 'fmla', 'payroll', 'onboarding', 'adp', 'workers compensation']",Good Match (Consider),71.5,41.8,55.6
9,39650734,Good Match,27,16,10,61.5,"['employee relations', 'performance management', 'benefits', 'shrm', 'compensation', 'employment law', 'orientation', 'paychex', 'fmla', 'payroll', 'powerpoint', 'word', 'hris', 'recruitment', 'excel', 'workers compensation']","['talent acquisition', 'ada', 'phr', 'dental', 'kronos', 'onboarding', 'microsoft office', 'adp', 'compliance', 'conflict resolution']",Good Match (Consider),81.5,48.7,57.7
10,24184357,Good Match,34,16,10,61.5,"['employee relations', 'performance management', 'benefits', 'compensation', 'employment law', 'orientation', 'fmla', 'kronos', 'payroll', 'powerpoint', 'microsoft office', 'word', 'hris', 'compliance', 'excel', 'recruitment']","['talent acquisition', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'onboarding', 'workers compensation', 'adp', 'conflict resolution']",Good Match (Consider),66.5,58.4,60.6
11,11763983,Good Match,26,15,11,57.7,"['benefits', 'compensation', 'orientation', 'recruitment', 'fmla', 'kronos', 'payroll', 'onboarding', 'powerpoint', 'word', 'hris', 'adp', 'compliance', 'excel', 'workers compensation']","['employee relations', 'talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'microsoft office', 'conflict resolution']",Good Match (Consider),62.7,25.2,48.0
12,19179079,Good Match,30,15,11,57.7,"['employee relations', 'talent acquisition', 'benefits', 'dental', 'compensation', 'orientation', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'adp', 'compliance', 'excel', 'recruitment']","['performance management', 'shrm', 'ada', 'phr', 'paychex', 'employment law', 'fmla', 'kronos', 'microsoft office', 'workers compensation', 'conflict resolution']",Good Match (Consider),62.7,52.4,56.1
13,18084150,Good Match,32,15,11,57.7,"['employee relations', 'benefits', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'kronos', 'payroll', 'word', 'hris', 'workers compensation', 'adp', 'compliance', 'excel', 'conflict resolution']","['talent acquisition', 'performance management', 'shrm', 'ada', 'phr', 'dental', 'paychex', 'employment law', 'fmla', 'onboarding', 'microsoft office']",Good Match (Consider),62.7,23.7,47.5
14,72231872,Good Match,30,15,11,57.7,"['employee relations', 'benefits', 'ada', 'compensation', 'orientation', 'fmla', 'payroll', 'onboarding', 'powerpoint', 'microsoft office', 'word', 'hris', 'compliance', 'excel', 'recruitment']","['talent acquisition', 'performance management', 'shrm', 'phr', 'dental', 'paychex', 'employment law', 'kronos', 'workers compensation', 'adp', 'conflict resolution']",Good Match (Consider),57.7,59.7,58.3
